Roles	Engagement	Capability
POTUS	Attend Public State Event	134
POTUS	Attend Public State Event	135
POTUS	Attend Public State Event	137
POTUS	Attend Public State Event	146
POTUS	Attend Public State Event	6
POTUS	Attend Public State Event	10
POTUS	Attend Public State Event	15
POTUS	Attend Public State Event	21
POTUS	Attend Public State Event	25
POTUS	Attend Public State Event	26
POTUS	Attend Public State Event	27
POTUS	Attend Public State Event	41
POTUS	Attend Public State Event	53
POTUS	Attend Public State Event	58
POTUS	Attend Public State Event	59
POTUS	Attend Public State Event	84
POTUS	Attend Public State Event	85
POTUS	Attend Public State Event	97
POTUS	Attend Public State Event	123
POTUS	Attend State Dinner	127
POTUS	Attend State Dinner	135
POTUS	Attend State Dinner	137
POTUS	Attend State Dinner	138
POTUS	Attend State Dinner	140
POTUS	Attend State Dinner	141
POTUS	Attend State Dinner	144
POTUS	Attend State Dinner	146
POTUS	Attend State Dinner	150
POTUS	Attend State Dinner	156
POTUS	Attend State Dinner	6
POTUS	Attend State Dinner	10
POTUS	Attend State Dinner	12
POTUS	Attend State Dinner	13
POTUS	Attend State Dinner	15
POTUS	Attend State Dinner	20
POTUS	Attend State Dinner	21
POTUS	Attend State Dinner	24
POTUS	Attend State Dinner	23
POTUS	Attend State Dinner	25
POTUS	Attend State Dinner	26
POTUS	Attend State Dinner	27
POTUS	Attend State Dinner	49
POTUS	Attend State Dinner	53
POTUS	Attend State Dinner	58
POTUS	Attend State Dinner	59
POTUS	Attend State Dinner	84
POTUS	Attend State Dinner	85
POTUS	Attend State Dinner	95
POTUS	Attend State Dinner	96
POTUS	Attend State Dinner	97
POTUS	Attend State Dinner	101
POTUS	Attend State Dinner	114
POTUS	Attend State Dinner	115
POTUS	Attend State Dinner	120
POTUS	Attend State Dinner	123
POTUS	Attend State Dinner	124
POTUS	Be Interviewed on New Show	135
POTUS	Be Interviewed on New Show	138
POTUS	Be Interviewed on New Show	139
POTUS	Be Interviewed on New Show	141
POTUS	Be Interviewed on New Show	6
POTUS	Be Interviewed on New Show	10
POTUS	Be Interviewed on New Show	12
POTUS	Be Interviewed on New Show	13
POTUS	Be Interviewed on New Show	15
POTUS	Be Interviewed on New Show	20
POTUS	Be Interviewed on New Show	21
POTUS	Be Interviewed on New Show	24
POTUS	Be Interviewed on New Show	26
POTUS	Be Interviewed on New Show	27
POTUS	Be Interviewed on New Show	41
POTUS	Be Interviewed on New Show	47
POTUS	Be Interviewed on New Show	48
POTUS	Be Interviewed on New Show	49
POTUS	Be Interviewed on New Show	50
POTUS	Be Interviewed on New Show	56
POTUS	Be Interviewed on New Show	58
POTUS	Be Interviewed on New Show	59
POTUS	Be Interviewed on New Show	81
POTUS	Be Interviewed on New Show	84
POTUS	Be Interviewed on New Show	85
POTUS	Be Interviewed on New Show	88
POTUS	Be Interviewed on New Show	93
POTUS	Be Interviewed on New Show	96
POTUS	Be Interviewed on New Show	97
POTUS	Be Interviewed on New Show	101
POTUS	Be Interviewed on New Show	104
POTUS	Be Interviewed on New Show	114
POTUS	Be Interviewed on New Show	115
POTUS	Be Interviewed on New Show	123
POTUS	Be Interviewed on New Show	124
POTUS	Be Interviewed on Scripted Entertainment Show	135
POTUS	Be Interviewed on Scripted Entertainment Show	137
POTUS	Be Interviewed on Scripted Entertainment Show	138
POTUS	Be Interviewed on Scripted Entertainment Show	139
POTUS	Be Interviewed on Scripted Entertainment Show	141
POTUS	Be Interviewed on Scripted Entertainment Show	156
POTUS	Be Interviewed on Scripted Entertainment Show	6
POTUS	Be Interviewed on Scripted Entertainment Show	10
POTUS	Be Interviewed on Scripted Entertainment Show	12
POTUS	Be Interviewed on Scripted Entertainment Show	15
POTUS	Be Interviewed on Scripted Entertainment Show	20
POTUS	Be Interviewed on Scripted Entertainment Show	21
POTUS	Be Interviewed on Scripted Entertainment Show	24
POTUS	Be Interviewed on Scripted Entertainment Show	26
POTUS	Be Interviewed on Scripted Entertainment Show	27
POTUS	Be Interviewed on Scripted Entertainment Show	41
POTUS	Be Interviewed on Scripted Entertainment Show	45
POTUS	Be Interviewed on Scripted Entertainment Show	48
POTUS	Be Interviewed on Scripted Entertainment Show	50
POTUS	Be Interviewed on Scripted Entertainment Show	59
POTUS	Be Interviewed on Scripted Entertainment Show	84
POTUS	Be Interviewed on Scripted Entertainment Show	85
POTUS	Be Interviewed on Scripted Entertainment Show	88
POTUS	Be Interviewed on Scripted Entertainment Show	96
POTUS	Be Interviewed on Scripted Entertainment Show	97
POTUS	Be Interviewed on Scripted Entertainment Show	114
POTUS	Be Interviewed on Scripted Entertainment Show	115
POTUS	Be Interviewed on Scripted Entertainment Show	123
POTUS	Be Interviewed on Scripted Entertainment Show	124
POTUS	Bestow Honors at State Ceremonies	135
POTUS	Bestow Honors at State Ceremonies	137
POTUS	Bestow Honors at State Ceremonies	138
POTUS	Bestow Honors at State Ceremonies	139
POTUS	Bestow Honors at State Ceremonies	150
POTUS	Bestow Honors at State Ceremonies	10
POTUS	Bestow Honors at State Ceremonies	15
POTUS	Bestow Honors at State Ceremonies	25
POTUS	Bestow Honors at State Ceremonies	26
POTUS	Bestow Honors at State Ceremonies	27
POTUS	Bestow Honors at State Ceremonies	50
POTUS	Bestow Honors at State Ceremonies	59
POTUS	Bestow Honors at State Ceremonies	123
POTUS	Convene National Security Council	126
POTUS	Convene National Security Council	127
POTUS	Convene National Security Council	128
POTUS	Convene National Security Council	130
POTUS	Convene National Security Council	136
POTUS	Convene National Security Council	148
POTUS	Convene National Security Council	150
POTUS	Convene National Security Council	151
POTUS	Convene National Security Council	152
POTUS	Convene National Security Council	153
POTUS	Convene National Security Council	156
POTUS	Convene National Security Council	6
POTUS	Convene National Security Council	12
POTUS	Convene National Security Council	13
POTUS	Convene National Security Council	16
POTUS	Convene National Security Council	25
POTUS	Convene National Security Council	26
POTUS	Convene National Security Council	27
POTUS	Convene National Security Council	41
POTUS	Convene National Security Council	42
POTUS	Convene National Security Council	49
POTUS	Convene National Security Council	53
POTUS	Convene National Security Council	58
POTUS	Convene National Security Council	96
POTUS	Convene National Security Council	114
POTUS	Convene National Security Council	115
POTUS	Convene National Security Council	120
POTUS	Convene National Security Council	124
POTUS	Deliver Remarks About Policy or Legislation	125
POTUS	Deliver Remarks About Policy or Legislation	135
POTUS	Deliver Remarks About Policy or Legislation	138
POTUS	Deliver Remarks About Policy or Legislation	139
POTUS	Deliver Remarks About Policy or Legislation	141
POTUS	Deliver Remarks About Policy or Legislation	10
POTUS	Deliver Remarks About Policy or Legislation	15
POTUS	Deliver Remarks About Policy or Legislation	20
POTUS	Deliver Remarks About Policy or Legislation	21
POTUS	Deliver Remarks About Policy or Legislation	24
POTUS	Deliver Remarks About Policy or Legislation	26
POTUS	Deliver Remarks About Policy or Legislation	27
POTUS	Deliver Remarks About Policy or Legislation	44
POTUS	Deliver Remarks About Policy or Legislation	47
POTUS	Deliver Remarks About Policy or Legislation	48
POTUS	Deliver Remarks About Policy or Legislation	49
POTUS	Deliver Remarks About Policy or Legislation	50
POTUS	Deliver Remarks About Policy or Legislation	59
POTUS	Deliver Remarks About Policy or Legislation	84
POTUS	Deliver Remarks About Policy or Legislation	93
POTUS	Deliver Remarks About Policy or Legislation	96
POTUS	Deliver Remarks About Policy or Legislation	114
POTUS	Deliver Remarks About Policy or Legislation	115
POTUS	Deliver Remarks About Policy or Legislation	123
POTUS	Deliver Remarks About Policy or Legislation	124
POTUS	Deliver Remarks at a Campaign Event	135
POTUS	Deliver Remarks at a Campaign Event	137
POTUS	Deliver Remarks at a Campaign Event	138
POTUS	Deliver Remarks at a Campaign Event	139
POTUS	Deliver Remarks at a Campaign Event	141
POTUS	Deliver Remarks at a Campaign Event	10
POTUS	Deliver Remarks at a Campaign Event	15
POTUS	Deliver Remarks at a Campaign Event	21
POTUS	Deliver Remarks at a Campaign Event	24
POTUS	Deliver Remarks at a Campaign Event	25
POTUS	Deliver Remarks at a Campaign Event	26
POTUS	Deliver Remarks at a Campaign Event	27
POTUS	Deliver Remarks at a Campaign Event	41
POTUS	Deliver Remarks at a Campaign Event	44
POTUS	Deliver Remarks at a Campaign Event	47
POTUS	Deliver Remarks at a Campaign Event	48
POTUS	Deliver Remarks at a Campaign Event	49
POTUS	Deliver Remarks at a Campaign Event	50
POTUS	Deliver Remarks at a Campaign Event	59
POTUS	Deliver Remarks at a Campaign Event	81
POTUS	Deliver Remarks at a Campaign Event	82
POTUS	Deliver Remarks at a Campaign Event	83
POTUS	Deliver Remarks at a Campaign Event	84
POTUS	Deliver Remarks at a Campaign Event	85
POTUS	Deliver Remarks at a Campaign Event	93
POTUS	Deliver Remarks at a Campaign Event	97
POTUS	Deliver Remarks at a Campaign Event	104
POTUS	Deliver Remarks at a Campaign Event	123
POTUS	Deliver Remarks at a Campaign Event	124
POTUS	Deliver remarks at a conference	135
POTUS	Deliver remarks at a conference	136
POTUS	Deliver remarks at a conference	137
POTUS	Deliver remarks at a conference	138
POTUS	Deliver remarks at a conference	139
POTUS	Deliver remarks at a conference	141
POTUS	Deliver remarks at a conference	10
POTUS	Deliver remarks at a conference	15
POTUS	Deliver remarks at a conference	21
POTUS	Deliver remarks at a conference	24
POTUS	Deliver remarks at a conference	26
POTUS	Deliver remarks at a conference	56
POTUS	Deliver remarks at a conference	57
POTUS	Deliver remarks at a conference	59
POTUS	Deliver remarks at a conference	60
POTUS	Deliver remarks at a conference	8
POTUS	Deliver remarks at a conference	65
POTUS	Deliver remarks at a conference	84
POTUS	Deliver remarks at a conference	88
POTUS	Deliver remarks at a conference	91
POTUS	Deliver remarks at a conference	93
POTUS	Deliver remarks at a conference	104
POTUS	Deliver remarks at a press event	130
POTUS	Deliver remarks at a press event	135
POTUS	Deliver remarks at a press event	138
POTUS	Deliver remarks at a press event	139
POTUS	Deliver remarks at a press event	141
POTUS	Deliver remarks at a press event	149
POTUS	Deliver remarks at a press event	157
POTUS	Deliver remarks at a press event	6
POTUS	Deliver remarks at a press event	8
POTUS	Deliver remarks at a press event	10
POTUS	Deliver remarks at a press event	12
POTUS	Deliver remarks at a press event	13
POTUS	Deliver remarks at a press event	15
POTUS	Deliver remarks at a press event	20
POTUS	Deliver remarks at a press event	21
POTUS	Deliver remarks at a press event	24
POTUS	Deliver remarks at a press event	26
POTUS	Deliver remarks at a press event	41
POTUS	Deliver remarks at a press event	42
POTUS	Deliver remarks at a press event	43
POTUS	Deliver remarks at a press event	44
POTUS	Deliver remarks at a press event	45
POTUS	Deliver remarks at a press event	46
POTUS	Deliver remarks at a press event	48
POTUS	Deliver remarks at a press event	50
POTUS	Deliver remarks at a press event	52
POTUS	Deliver remarks at a press event	53
POTUS	Deliver remarks at a press event	58
POTUS	Deliver remarks at a press event	59
POTUS	Deliver remarks at a press event	81
POTUS	Deliver remarks at a press event	83
POTUS	Deliver remarks at a press event	84
POTUS	Deliver remarks at a press event	85
POTUS	Deliver remarks at a press event	88
POTUS	Deliver remarks at a press event	91
POTUS	Deliver remarks at a press event	93
POTUS	Deliver remarks at a press event	96
POTUS	Deliver remarks at a press event	101
POTUS	Deliver remarks at a press event	104
POTUS	Deliver remarks at a press event	114
POTUS	Deliver remarks at a press event	115
POTUS	Deliver Remarks at Convention	135
POTUS	Deliver Remarks at Convention	136
POTUS	Deliver Remarks at Convention	137
POTUS	Deliver Remarks at Convention	138
POTUS	Deliver Remarks at Convention	139
POTUS	Deliver Remarks at Convention	141
POTUS	Deliver Remarks at Convention	10
POTUS	Deliver Remarks at Convention	15
POTUS	Deliver Remarks at Convention	20
POTUS	Deliver Remarks at Convention	21
POTUS	Deliver Remarks at Convention	24
POTUS	Deliver Remarks at Convention	25
POTUS	Deliver Remarks at Convention	26
POTUS	Deliver Remarks at Convention	27
POTUS	Deliver Remarks at Convention	41
POTUS	Deliver Remarks at Convention	43
POTUS	Deliver Remarks at Convention	46
POTUS	Deliver Remarks at Convention	47
POTUS	Deliver Remarks at Convention	48
POTUS	Deliver Remarks at Convention	49
POTUS	Deliver Remarks at Convention	50
POTUS	Deliver Remarks at Convention	53
POTUS	Deliver Remarks at Convention	59
POTUS	Deliver Remarks at Convention	81
POTUS	Deliver Remarks at Convention	84
POTUS	Deliver Remarks at Convention	85
POTUS	Deliver Remarks at Convention	93
POTUS	Deliver Remarks at Convention	104
POTUS	Deliver Remarks at Convention	123
POTUS	Deliver Remarks at Convention	124
POTUS	Deliver Remarks at International Relations Event	135
POTUS	Deliver Remarks at International Relations Event	137
POTUS	Deliver Remarks at International Relations Event	138
POTUS	Deliver Remarks at International Relations Event	141
POTUS	Deliver Remarks at International Relations Event	144
POTUS	Deliver Remarks at International Relations Event	146
POTUS	Deliver Remarks at International Relations Event	150
POTUS	Deliver Remarks at International Relations Event	6
POTUS	Deliver Remarks at International Relations Event	10
POTUS	Deliver Remarks at International Relations Event	12
POTUS	Deliver Remarks at International Relations Event	15
POTUS	Deliver Remarks at International Relations Event	20
POTUS	Deliver Remarks at International Relations Event	21
POTUS	Deliver Remarks at International Relations Event	24
POTUS	Deliver Remarks at International Relations Event	25
POTUS	Deliver Remarks at International Relations Event	26
POTUS	Deliver Remarks at International Relations Event	27
POTUS	Deliver Remarks at International Relations Event	41
POTUS	Deliver Remarks at International Relations Event	50
POTUS	Deliver Remarks at International Relations Event	53
POTUS	Deliver Remarks at International Relations Event	58
POTUS	Deliver Remarks at International Relations Event	59
POTUS	Deliver Remarks at International Relations Event	84
POTUS	Deliver Remarks at International Relations Event	85
POTUS	Deliver Remarks at International Relations Event	93
POTUS	Deliver Remarks at International Relations Event	95
POTUS	Deliver Remarks at International Relations Event	96
POTUS	Deliver Remarks at International Relations Event	97
POTUS	Deliver Remarks at International Relations Event	101
POTUS	Deliver Remarks at International Relations Event	114
POTUS	Deliver Remarks at International Relations Event	115
POTUS	Deliver Remarks at International Relations Event	120
POTUS	Deliver Remarks at International Relations Event	123
POTUS	Deliver Remarks at International Relations Event	124
POTUS	Deliver Remarks at Reception	135
POTUS	Deliver Remarks at Reception	136
POTUS	Deliver Remarks at Reception	137
POTUS	Deliver Remarks at Reception	138
POTUS	Deliver Remarks at Reception	139
POTUS	Deliver Remarks at Reception	141
POTUS	Deliver Remarks at Reception	144
POTUS	Deliver Remarks at Reception	145
POTUS	Deliver Remarks at Reception	146
POTUS	Deliver Remarks at Reception	150
POTUS	Deliver Remarks at Reception	156
POTUS	Deliver Remarks at Reception	6
POTUS	Deliver Remarks at Reception	10
POTUS	Deliver Remarks at Reception	12
POTUS	Deliver Remarks at Reception	13
POTUS	Deliver Remarks at Reception	15
POTUS	Deliver Remarks at Reception	20
POTUS	Deliver Remarks at Reception	21
POTUS	Deliver Remarks at Reception	24
POTUS	Deliver Remarks at Reception	25
POTUS	Deliver Remarks at Reception	26
POTUS	Deliver Remarks at Reception	27
POTUS	Deliver Remarks at Reception	41
POTUS	Deliver Remarks at Reception	42
POTUS	Deliver Remarks at Reception	44
POTUS	Deliver Remarks at Reception	45
POTUS	Deliver Remarks at Reception	46
POTUS	Deliver Remarks at Reception	47
POTUS	Deliver Remarks at Reception	48
POTUS	Deliver Remarks at Reception	49
POTUS	Deliver Remarks at Reception	50
POTUS	Deliver Remarks at Reception	53
POTUS	Deliver Remarks at Reception	59
POTUS	Deliver Remarks at Reception	93
POTUS	Deliver Remarks at Reception	123
POTUS	Deliver Remarks at Reception	124
POTUS	Deliver remarks at televised event	135
POTUS	Deliver remarks at televised event	138
POTUS	Deliver remarks at televised event	139
POTUS	Deliver remarks at televised event	141
POTUS	Deliver remarks at televised event	8
POTUS	Deliver remarks at televised event	10
POTUS	Deliver remarks at televised event	15
POTUS	Deliver remarks at televised event	21
POTUS	Deliver remarks at televised event	24
POTUS	Deliver remarks at televised event	41
POTUS	Deliver remarks at televised event	50
POTUS	Deliver remarks at televised event	59
POTUS	Deliver remarks at televised event	60
POTUS	Deliver remarks at televised event	84
POTUS	Deliver remarks at televised event	88
POTUS	Deliver remarks at televised event	93
POTUS	Deliver remarks at televised event	104
POTUS	Deliver remarks at televised event	105
POTUS	Deliver remarks at televised event	114
POTUS	Deliver remarks at televised event	115
POTUS	Deliver Remarks to Military	134
POTUS	Deliver Remarks to Military	135
POTUS	Deliver Remarks to Military	136
POTUS	Deliver Remarks to Military	137
POTUS	Deliver Remarks to Military	138
POTUS	Deliver Remarks to Military	141
POTUS	Deliver Remarks to Military	143
POTUS	Deliver Remarks to Military	144
POTUS	Deliver Remarks to Military	145
POTUS	Deliver Remarks to Military	146
POTUS	Deliver Remarks to Military	10
POTUS	Deliver Remarks to Military	15
POTUS	Deliver Remarks to Military	19
POTUS	Deliver Remarks to Military	20
POTUS	Deliver Remarks to Military	21
POTUS	Deliver Remarks to Military	24
POTUS	Deliver Remarks to Military	25
POTUS	Deliver Remarks to Military	26
POTUS	Deliver Remarks to Military	27
POTUS	Deliver Remarks to Military	41
POTUS	Deliver Remarks to Military	50
POTUS	Deliver Remarks to Military	53
POTUS	Deliver Remarks to Military	59
POTUS	Deliver Remarks to Military	93
POTUS	Deliver Remarks to Military	96
POTUS	Deliver Remarks to Military	114
POTUS	Deliver Remarks to Military	115
POTUS	Deliver Remarks to Military	120
POTUS	Deliver Remarks to Military	123
POTUS	Deliver Remarks to Military	124
POTUS	Deliver Remarks to the United Nations	135
POTUS	Deliver Remarks to the United Nations	137
POTUS	Deliver Remarks to the United Nations	138
POTUS	Deliver Remarks to the United Nations	141
POTUS	Deliver Remarks to the United Nations	144
POTUS	Deliver Remarks to the United Nations	146
POTUS	Deliver Remarks to the United Nations	6
POTUS	Deliver Remarks to the United Nations	10
POTUS	Deliver Remarks to the United Nations	12
POTUS	Deliver Remarks to the United Nations	13
POTUS	Deliver Remarks to the United Nations	15
POTUS	Deliver Remarks to the United Nations	16
POTUS	Deliver Remarks to the United Nations	20
POTUS	Deliver Remarks to the United Nations	21
POTUS	Deliver Remarks to the United Nations	24
POTUS	Deliver Remarks to the United Nations	25
POTUS	Deliver Remarks to the United Nations	26
POTUS	Deliver Remarks to the United Nations	27
POTUS	Deliver Remarks to the United Nations	41
POTUS	Deliver Remarks to the United Nations	49
POTUS	Deliver Remarks to the United Nations	50
POTUS	Deliver Remarks to the United Nations	53
POTUS	Deliver Remarks to the United Nations	58
POTUS	Deliver Remarks to the United Nations	59
POTUS	Deliver Remarks to the United Nations	84
POTUS	Deliver Remarks to the United Nations	85
POTUS	Deliver Remarks to the United Nations	93
POTUS	Deliver Remarks to the United Nations	95
POTUS	Deliver Remarks to the United Nations	96
POTUS	Deliver Remarks to the United Nations	97
POTUS	Deliver Remarks to the United Nations	101
POTUS	Deliver Remarks to the United Nations	114
POTUS	Deliver Remarks to the United Nations	115
POTUS	Deliver Remarks to the United Nations	120
POTUS	Deliver Remarks to the United Nations	123
POTUS	Deliver Remarks to the United Nations	124
POTUS	Deliver state-of-the-union address	135
POTUS	Deliver state-of-the-union address	136
POTUS	Deliver state-of-the-union address	138
POTUS	Deliver state-of-the-union address	139
POTUS	Deliver state-of-the-union address	141
POTUS	Deliver state-of-the-union address	144
POTUS	Deliver state-of-the-union address	145
POTUS	Deliver state-of-the-union address	152
POTUS	Deliver state-of-the-union address	154
POTUS	Deliver state-of-the-union address	10
POTUS	Deliver state-of-the-union address	21
POTUS	Deliver state-of-the-union address	24
POTUS	Deliver state-of-the-union address	26
POTUS	Deliver state-of-the-union address	41
POTUS	Deliver state-of-the-union address	50
POTUS	Deliver state-of-the-union address	56
POTUS	Deliver state-of-the-union address	59
POTUS	Deliver state-of-the-union address	60
POTUS	Deliver state-of-the-union address	65
POTUS	Deliver state-of-the-union address	69
POTUS	Deliver state-of-the-union address	81
POTUS	Deliver state-of-the-union address	83
POTUS	Deliver state-of-the-union address	84
POTUS	Deliver state-of-the-union address	93
POTUS	Deliver state-of-the-union address	96
POTUS	Deliver state-of-the-union address	97
POTUS	Deliver state-of-the-union address	98
POTUS	Deliver state-of-the-union address	101
POTUS	Deliver state-of-the-union address	104
POTUS	Deliver state-of-the-union address	107
POTUS	Deliver state-of-the-union address	108
POTUS	Deliver state-of-the-union address	110
POTUS	Deliver state-of-the-union address	114
POTUS	Deliver state-of-the-union address		115
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	127
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	135
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	136
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	137
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	138
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	140
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	141
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	146
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	148
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	149
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	150
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	151
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	152
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	153
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	154
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	156
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	6
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	10
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	12
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	13
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	15
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	16
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	20
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	21
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	23
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	24
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	25
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	26
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	27
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	41
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	43
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	45
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	46
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	48
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	49
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	50
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	51
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	53
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	58
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	59
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	81
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	84
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	85
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	95
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	96
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	97
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	101
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	114
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	115
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	120
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	123
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	124
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	125
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	127
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	135
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	136
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	137
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	138
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	140
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	141
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	144
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	146
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	148
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	149
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	150
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	151
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	152
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	153
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	154
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	156
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	6
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	10
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	12
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	13
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	15
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	16
